ProductLine,Week,Hours
Health and beauty,13,10
Electronic accessories,6,13
Food and beverages,12,10
Home and lifestyle,10,18
Fashion accessories,13,19
Fashion accessories,9,13
Electronic accessories,5,11
Food and beverages,13,16
Health and beauty,12,18
Electronic accessories,2,14
Fashion accessories,1,20
Sports and travel,12,20
Food and beverages,13,10
Electronic accessories,10,14
Sports and travel,6,11
Health and beauty,6,10
Fashion accessories,7,12
Home and lifestyle,3,20
Home and lifestyle,5,20
Fashion accessories,9,13
Fashion accessories,10,12
Fashion accessories,3,15
Food and beverages,5,20
Home and lifestyle,4,20
Electronic accessories,7,17
Sports and travel,2,12
Sports and travel,10,17
Home and lifestyle,11,19
Fashion accessories,10,14
Home and lifestyle,11,18
Sports and travel,5,13
Fashion accessories,2,16
Food and beverages,2,15
Sports and travel,6,11
Fashion accessories,4,13
Sports and travel,10,20
Sports and travel,7,18
Electronic accessories,8,14
Health and beauty,10,16
Fashion accessories,8,19
Electronic accessories,3,20
Home and lifestyle,8,15
Sports and travel,7,12
Sports and travel,11,19
Sports and travel,4,13
Health and beauty,4,13
Health and beauty,6,19
Food and beverages,8,10
Home and lifestyle,4,16
Health and beauty,10,17
Fashion accessories,7,12
Health and beauty,12,12
Home and lifestyle,10,15
Health and beauty,13,13
Fashion accessories,12,19
Sports and travel,11,16
Fashion accessories,5,11
Food and beverages,6,18
Sports and travel,5,13
Food and beverages,8,15
Electronic accessories,1,19
Home and lifestyle,10,13
Health and beauty,13,14
Sports and travel,13,19
Food and beverages,3,19
Sports and travel,9,16
Food and beverages,11,19
Sports and travel,5,19
Food and beverages,8,15
Health and beauty,9,14
Home and lifestyle,3,13
Fashion accessories,6,16
Food and beverages,3,16
Sports and travel,5,15
Health and beauty,1,11
Food and beverages,4,12
Electronic accessories,10,19
Electronic accessories,3,17
Food and beverages,3,12
Home and lifestyle,12,16
Food and beverages,10,17
Fashion accessories,7,10
Food and beverages,12,19
Health and beauty,5,16
Fashion accessories,6,10
Food and beverages,4,11
Sports and travel,12,10
Health and beauty,4,15
Sports and travel,10,11
Food and beverages,10,19
Home and lifestyle,10,19
Home and lifestyle,6,10
Home and lifestyle,7,12
Home and lifestyle,5,20
Home and lifestyle,7,10
Fashion accessories,3,13
Food and beverages,11,19
Home and lifestyle,4,20
Electronic accessories,12,11
Fashion accessories,3,19
Health and beauty,13,18
Home and lifestyle,12,10
Health and beauty,11,19
Food and beverages,8,19
Sports and travel,5,10
Electronic accessories,11,11
Electronic accessories,3,10
Health and beauty,6,14
Home and lifestyle,7,12
Health and beauty,1,12
Electronic accessories,1,18
Home and lifestyle,12,17
Fashion accessories,13,13
Electronic accessories,9,19
Electronic accessories,4,20
Food and beverages,3,18
Home and lifestyle,12,19
Sports and travel,1,13
Sports and travel,11,15
Home and lifestyle,12,15
Sports and travel,13,18
Electronic accessories,8,16
Fashion accessories,7,12
Food and beverages,11,18
Electronic accessories,5,13
Food and beverages,10,13
Electronic accessories,8,18
Fashion accessories,8,12
Food and beverages,12,15
Sports and travel,2,14
Health and beauty,4,19
Electronic accessories,5,16
Electronic accessories,9,10
Home and lifestyle,11,12
Fashion accessories,4,19
Electronic accessories,11,13
Health and beauty,7,10
Fashion accessories,8,18
Health and beauty,10,18
Sports and travel,4,18
Health and beauty,5,15
Fashion accessories,10,17
Electronic accessories,9,19
Fashion accessories,2,11
Food and beverages,2,16
Health and beauty,11,12
Fashion accessories,9,18
Home and lifestyle,1,11
Home and lifestyle,5,18
Home and lifestyle,1,14
Electronic accessories,6,19
Fashion accessories,4,14
Electronic accessories,2,16
Food and beverages,3,19
Food and beverages,5,15
Fashion accessories,12,19
Sports and travel,9,19
Home and lifestyle,11,11
Home and lifestyle,2,11
Fashion accessories,5,14
Electronic accessories,5,10
Home and lifestyle,6,10
Electronic accessories,7,12
Electronic accessories,6,13
Electronic accessories,12,13
Fashion accessories,10,14
Fashion accessories,11,19
Sports and travel,6,11
Sports and travel,9,19
Sports and travel,11,12
Home and lifestyle,11,17
Food and beverages,2,20
Home and lifestyle,1,16
Home and lifestyle,1,13
Sports and travel,10,18
Health and beauty,1,19
Home and lifestyle,2,11
Home and lifestyle,5,15
Health and beauty,9,16
Fashion accessories,2,20
Home and lifestyle,2,17
Fashion accessories,5,13
Fashion accessories,12,16
Sports and travel,12,19
Home and lifestyle,7,17
Home and lifestyle,10,13
Sports and travel,2,11
Health and beauty,10,15
Health and beauty,11,14
Health and beauty,8,18
Home and lifestyle,13,14
Sports and travel,5,12
Food and beverages,4,13
Home and lifestyle,6,14
Electronic accessories,4,17
Electronic accessories,11,17
Electronic accessories,8,20
Food and beverages,4,10
Health and beauty,11,11
Electronic accessories,10,13
Electronic accessories,13,14
Home and lifestyle,2,14
Home and lifestyle,4,15
Home and lifestyle,3,10
Fashion accessories,1,18
Health and beauty,11,16
Food and beverages,9,15
Electronic accessories,12,17
Electronic accessories,8,12
Electronic accessories,13,20
Sports and travel,13,13
Home and lifestyle,8,17
Electronic accessories,12,10
Fashion accessories,10,17
Sports and travel,5,14
Fashion accessories,6,19
Food and beverages,5,10
Health and beauty,10,13
Electronic accessories,7,20
Food and beverages,7,17
Food and beverages,6,10
Electronic accessories,2,11
Health and beauty,11,18
Health and beauty,8,16
Food and beverages,9,20
Health and beauty,3,15
Health and beauty,7,18
Fashion accessories,10,13
Home and lifestyle,3,12
Sports and travel,11,19
Food and beverages,10,19
Food and beverages,11,16
Health and beauty,4,10
Electronic accessories,13,13
Home and lifestyle,6,18
Food and beverages,8,17
Fashion accessories,6,15
Food and beverages,11,11
Sports and travel,13,13
Electronic accessories,12,10
Fashion accessories,12,15
Sports and travel,9,13
Electronic accessories,13,12
Food and beverages,6,15
Electronic accessories,7,18
Health and beauty,10,19
Health and beauty,7,20
Food and beverages,5,16
Sports and travel,7,15
Fashion accessories,9,16
Electronic accessories,6,12
Home and lifestyle,4,10
Electronic accessories,13,17
Health and beauty,9,11
Fashion accessories,7,14
Electronic accessories,4,18
Fashion accessories,11,19
Home and lifestyle,9,14
Electronic accessories,10,15
Food and beverages,2,12
Fashion accessories,10,20
Sports and travel,2,13
Electronic accessories,9,15
Sports and travel,11,16
Food and beverages,8,11
Food and beverages,9,15
Food and beverages,10,20
Home and lifestyle,4,17
Food and beverages,8,16
Fashion accessories,2,12
Electronic accessories,11,19
Home and lifestyle,13,10
Sports and travel,5,14
Electronic accessories,10,12
Electronic accessories,5,19
Fashion accessories,4,19
Home and lifestyle,11,17
Fashion accessories,5,12
Home and lifestyle,1,16
Fashion accessories,3,12
Home and lifestyle,1,19
Sports and travel,8,18
Fashion accessories,6,17
Electronic accessories,5,13
Sports and travel,2,10
Electronic accessories,12,14
Food and beverages,3,12
Food and beverages,9,15
Food and beverages,2,13
Sports and travel,5,13
Food and beverages,11,13
Health and beauty,8,16
Fashion accessories,5,14
Food and beverages,11,14
Fashion accessories,7,12
Fashion accessories,4,14
Electronic accessories,7,18
Sports and travel,10,12
Health and beauty,10,10
Health and beauty,4,20
Food and beverages,11,14
Home and lifestyle,11,10
Health and beauty,10,13
Electronic accessories,10,16
Food and beverages,13,20
Home and lifestyle,11,20
Home and lifestyle,6,13
Fashion accessories,8,10
Fashion accessories,7,17
Sports and travel,3,15
Food and beverages,2,19
Fashion accessories,1,19
Home and lifestyle,10,19
Fashion accessories,5,19
Health and beauty,1,13
Sports and travel,4,14
Health and beauty,1,13
Sports and travel,11,18
Home and lifestyle,12,19
Health and beauty,4,16
Home and lifestyle,2,13
Health and beauty,4,10
Health and beauty,2,17
Electronic accessories,6,10
Food and beverages,13,13
Electronic accessories,4,13
Fashion accessories,6,13
Fashion accessories,12,19
Fashion accessories,10,15
Fashion accessories,1,13
Health and beauty,4,18
Food and beverages,12,13
Sports and travel,9,17
Home and lifestyle,10,10
Fashion accessories,5,19
Food and beverages,10,16
Electronic accessories,3,19
Fashion accessories,10,14
Fashion accessories,8,18
Sports and travel,12,19
Sports and travel,4,16
Home and lifestyle,10,15
Food and beverages,10,20
Electronic accessories,6,14
Food and beverages,3,19
Sports and travel,12,19
Home and lifestyle,3,15
Fashion accessories,2,14
Sports and travel,3,10
Health and beauty,5,17
Food and beverages,7,11
Fashion accessories,11,17
Health and beauty,2,20
Sports and travel,13,11
Electronic accessories,1,19
Electronic accessories,1,18
Food and beverages,11,12
Health and beauty,10,15
Electronic accessories,5,13
Fashion accessories,7,16
Food and beverages,7,14
Electronic accessories,6,20
Electronic accessories,5,13
Food and beverages,8,16
Food and beverages,6,15
Food and beverages,10,12
Sports and travel,6,10
Food and beverages,12,18
Food and beverages,13,15
Sports and travel,9,11
Health and beauty,6,13
Sports and travel,12,18
Food and beverages,6,10
Electronic accessories,7,11
Home and lifestyle,4,12
Sports and travel,4,11
Fashion accessories,5,18
Health and beauty,13,17
Electronic accessories,13,17
Health and beauty,9,20
Sports and travel,12,16
Electronic accessories,10,16
Sports and travel,11,10
Electronic accessories,5,11
Food and beverages,5,20
Electronic accessories,7,12
Sports and travel,2,13
Home and lifestyle,7,16
Sports and travel,1,19
Sports and travel,12,15
Fashion accessories,9,14
Fashion accessories,12,18
Home and lifestyle,5,20
Home and lifestyle,6,13
Fashion accessories,11,19
Fashion accessories,11,18
Health and beauty,10,20
Home and lifestyle,10,13
Fashion accessories,9,11
Sports and travel,12,14
Electronic accessories,1,15
Food and beverages,5,11
Sports and travel,4,17
Sports and travel,5,15
Sports and travel,6,15
Fashion accessories,1,12
Home and lifestyle,5,19
Sports and travel,13,17
Sports and travel,9,16
Electronic accessories,5,20
Sports and travel,2,12
Food and beverages,5,10
Health and beauty,13,14
Home and lifestyle,6,17
Sports and travel,3,18
Home and lifestyle,1,17
Fashion accessories,5,18
Electronic accessories,11,12
Sports and travel,8,19
Fashion accessories,12,15
Health and beauty,13,16
Home and lifestyle,4,20
Home and lifestyle,9,18
Sports and travel,3,15
Electronic accessories,13,10
Home and lifestyle,12,11
Home and lifestyle,6,13
Health and beauty,1,11
Food and beverages,5,14
Sports and travel,9,16
Fashion accessories,3,20
Fashion accessories,3,14
Food and beverages,6,11
Sports and travel,8,19
Health and beauty,7,19
Fashion accessories,4,18
Electronic accessories,6,19
Food and beverages,13,10
Home and lifestyle,11,13
Home and lifestyle,6,11
Fashion accessories,1,11
Home and lifestyle,10,11
Fashion accessories,9,17
Food and beverages,5,18
Home and lifestyle,4,11
Health and beauty,1,10
Sports and travel,7,12
Electronic accessories,5,16
Food and beverages,1,20
Home and lifestyle,12,13
Fashion accessories,2,16
Sports and travel,2,12
Sports and travel,4,17
Electronic accessories,4,10
Fashion accessories,6,20
Fashion accessories,8,10
Health and beauty,6,12
Electronic accessories,10,10
Electronic accessories,13,18
Home and lifestyle,4,13
Fashion accessories,6,19
Food and beverages,5,20
Food and beverages,1,15
Home and lifestyle,13,16
Electronic accessories,11,12
Food and beverages,7,15
Electronic accessories,5,13
Electronic accessories,12,15
Fashion accessories,12,13
Food and beverages,3,13
Sports and travel,6,16
Fashion accessories,1,13
Fashion accessories,2,10
Sports and travel,9,16
Home and lifestyle,9,17
Sports and travel,5,11
Food and beverages,11,19
Food and beverages,3,19
Sports and travel,12,14
Fashion accessories,9,19
Food and beverages,8,18
Food and beverages,3,14
Health and beauty,13,13
Health and beauty,9,12
Food and beverages,2,12
Health and beauty,5,19
Fashion accessories,7,15
Fashion accessories,3,18
Sports and travel,3,15
Health and beauty,10,13
Food and beverages,13,14
Sports and travel,6,16
Fashion accessories,11,11
Health and beauty,10,12
Health and beauty,10,10
Home and lifestyle,5,17
Sports and travel,6,14
Sports and travel,6,11
Sports and travel,11,13
Health and beauty,9,11
Food and beverages,7,13
Sports and travel,8,19
Fashion accessories,4,18
Home and lifestyle,13,14
Electronic accessories,4,17
Fashion accessories,4,10
Food and beverages,11,20
Sports and travel,12,13
Fashion accessories,2,20
Home and lifestyle,6,15
Fashion accessories,7,12
Food and beverages,13,19
Fashion accessories,4,12
Food and beverages,3,10
Electronic accessories,6,10
Food and beverages,10,11
Fashion accessories,4,11
Sports and travel,3,16
Food and beverages,6,11
Sports and travel,12,12
Sports and travel,3,19
Electronic accessories,11,18
Food and beverages,4,11
Fashion accessories,6,17
Food and beverages,13,15
Food and beverages,12,19
Home and lifestyle,3,15
Fashion accessories,2,11
Fashion accessories,7,15
Food and beverages,4,16
Sports and travel,10,12
Health and beauty,11,14
Home and lifestyle,4,14
Fashion accessories,4,18
Sports and travel,3,14
Electronic accessories,10,16
Food and beverages,3,10
Home and lifestyle,12,11
Food and beverages,12,19
Health and beauty,3,15
Health and beauty,10,20
Electronic accessories,12,12
Food and beverages,10,15
Fashion accessories,9,17
Food and beverages,8,20
Electronic accessories,12,15
Electronic accessories,13,15
Food and beverages,13,19
Electronic accessories,7,15
Home and lifestyle,3,18
Health and beauty,13,14
Fashion accessories,12,19
Sports and travel,3,15
Electronic accessories,9,16
Electronic accessories,3,18
Health and beauty,4,11
Home and lifestyle,6,17
Sports and travel,10,15
Fashion accessories,7,18
Electronic accessories,11,14
Electronic accessories,9,10
Fashion accessories,3,10
Sports and travel,5,15
Fashion accessories,9,17
Sports and travel,6,11
Sports and travel,3,12
Fashion accessories,13,18
Food and beverages,7,14
Sports and travel,8,11
Fashion accessories,6,15
Food and beverages,8,13
Health and beauty,8,20
Health and beauty,7,14
Sports and travel,3,10
Fashion accessories,3,19
Food and beverages,13,16
Health and beauty,9,13
Health and beauty,7,17
Electronic accessories,9,10
Fashion accessories,9,19
Sports and travel,8,19
Food and beverages,8,18
Health and beauty,6,14
Food and beverages,2,13
Electronic accessories,7,19
Sports and travel,3,10
Fashion accessories,2,13
Fashion accessories,9,12
Sports and travel,4,19
Home and lifestyle,2,12
Sports and travel,2,11
Home and lifestyle,3,17
Sports and travel,11,12
Food and beverages,7,10
Sports and travel,4,13
Food and beverages,11,19
Health and beauty,10,12
Fashion accessories,7,13
Food and beverages,3,14
Home and lifestyle,5,19
Sports and travel,1,20
Home and lifestyle,2,19
Electronic accessories,8,19
Home and lifestyle,2,16
Fashion accessories,6,12
Food and beverages,13,19
Fashion accessories,9,18
Health and beauty,2,11
Home and lifestyle,9,12
Health and beauty,13,14
Electronic accessories,5,20
Food and beverages,4,20
Fashion accessories,4,20
Sports and travel,3,17
Food and beverages,9,20
Home and lifestyle,12,15
Electronic accessories,8,15
Health and beauty,6,12
Fashion accessories,5,10
Health and beauty,6,18
Fashion accessories,13,16
Electronic accessories,3,12
Fashion accessories,8,13
Fashion accessories,3,15
Fashion accessories,5,20
Sports and travel,3,15
Home and lifestyle,12,13
Food and beverages,2,20
Food and beverages,6,18
Health and beauty,6,14
Home and lifestyle,2,11
Sports and travel,10,17
Fashion accessories,11,15
Home and lifestyle,10,10
Fashion accessories,9,16
Health and beauty,9,19
Fashion accessories,6,11
Electronic accessories,4,10
Food and beverages,9,20
Health and beauty,11,12
Home and lifestyle,12,15
Electronic accessories,5,14
Electronic accessories,2,18
Home and lifestyle,12,11
Home and lifestyle,12,12
Food and beverages,3,15
Sports and travel,7,14
Home and lifestyle,8,15
Sports and travel,1,16
Food and beverages,5,16
Fashion accessories,2,19
Home and lifestyle,5,14
Home and lifestyle,13,19
Health and beauty,3,20
Fashion accessories,11,11
Food and beverages,6,10
Electronic accessories,8,12
Home and lifestyle,4,15
Fashion accessories,4,18
Fashion accessories,10,13
Electronic accessories,8,15
Home and lifestyle,2,11
Food and beverages,9,18
Food and beverages,13,15
Food and beverages,7,10
Electronic accessories,5,15
Fashion accessories,4,17
Health and beauty,13,11
Health and beauty,4,15
Home and lifestyle,10,19
Fashion accessories,1,20
Sports and travel,7,13
Electronic accessories,11,18
Home and lifestyle,3,17
Sports and travel,9,11
Health and beauty,9,19
Sports and travel,8,16
Food and beverages,6,10
Food and beverages,3,16
Food and beverages,4,18
Health and beauty,10,18
Sports and travel,1,13
Sports and travel,12,17
Electronic accessories,5,20
Health and beauty,8,19
Sports and travel,7,16
Fashion accessories,6,14
Home and lifestyle,10,17
Health and beauty,9,13
Electronic accessories,6,16
Electronic accessories,8,11
Health and beauty,4,10
Health and beauty,3,10
Sports and travel,3,15
Fashion accessories,10,20
Health and beauty,7,20
Home and lifestyle,3,13
Electronic accessories,9,12
Electronic accessories,9,12
Fashion accessories,11,16
Home and lifestyle,4,13
Sports and travel,8,15
Health and beauty,11,10
Home and lifestyle,7,18
Sports and travel,2,16
Electronic accessories,10,19
Fashion accessories,12,13
Fashion accessories,10,11
Electronic accessories,8,11
Home and lifestyle,12,16
Sports and travel,3,18
Electronic accessories,2,17
Health and beauty,3,10
Fashion accessories,5,10
Health and beauty,11,14
Electronic accessories,9,18
Sports and travel,6,12
Electronic accessories,12,14
Electronic accessories,4,10
Food and beverages,11,16
Fashion accessories,4,11
Food and beverages,3,20
Health and beauty,5,20
Food and beverages,6,14
Electronic accessories,13,16
Home and lifestyle,9,10
Sports and travel,6,14
Health and beauty,10,10
Sports and travel,7,11
Sports and travel,5,18
Health and beauty,5,13
Fashion accessories,13,18
Electronic accessories,13,18
Electronic accessories,1,14
Electronic accessories,4,17
Health and beauty,9,18
Sports and travel,2,16
Health and beauty,7,14
Home and lifestyle,11,11
Fashion accessories,13,19
Fashion accessories,2,13
Sports and travel,1,20
Electronic accessories,3,15
Sports and travel,1,11
Fashion accessories,7,15
Electronic accessories,9,17
Sports and travel,9,16
Food and beverages,7,18
Fashion accessories,4,12
Electronic accessories,5,11
Electronic accessories,5,18
Sports and travel,5,17
Food and beverages,2,19
Fashion accessories,3,13
Fashion accessories,4,11
Fashion accessories,8,10
Health and beauty,3,15
Electronic accessories,9,11
Health and beauty,4,14
Fashion accessories,7,10
Food and beverages,1,19
Home and lifestyle,10,18
Health and beauty,7,13
Food and beverages,4,12
Home and lifestyle,8,13
Sports and travel,2,18
Home and lifestyle,12,11
Home and lifestyle,2,11
Electronic accessories,2,14
Health and beauty,4,15
Sports and travel,11,14
Health and beauty,3,12
Food and beverages,2,19
Sports and travel,2,13
Food and beverages,7,10
Fashion accessories,11,15
Electronic accessories,5,11
Sports and travel,3,17
Home and lifestyle,12,11
Home and lifestyle,11,14
Fashion accessories,7,17
Electronic accessories,9,20
Electronic accessories,12,16
Electronic accessories,3,10
Food and beverages,2,14
Fashion accessories,13,12
Sports and travel,8,15
Home and lifestyle,13,12
Food and beverages,12,13
Sports and travel,3,10
Food and beverages,6,19
Electronic accessories,12,13
Fashion accessories,11,12
Sports and travel,12,19
Health and beauty,8,10
Electronic accessories,6,15
Fashion accessories,9,16
Electronic accessories,10,20
Electronic accessories,6,15
Health and beauty,5,17
Fashion accessories,3,16
Food and beverages,6,10
Health and beauty,9,13
Food and beverages,6,19
Electronic accessories,3,14
Home and lifestyle,6,12
Health and beauty,13,20
Food and beverages,5,17
Health and beauty,7,12
Home and lifestyle,13,17
Health and beauty,6,18
Health and beauty,13,14
Food and beverages,13,16
Home and lifestyle,5,10
Food and beverages,13,20
Electronic accessories,3,11
Home and lifestyle,6,10
Fashion accessories,5,10
Food and beverages,9,18
Electronic accessories,5,12
Sports and travel,11,15
Fashion accessories,11,12
Home and lifestyle,8,11
Electronic accessories,9,12
Home and lifestyle,11,15
Home and lifestyle,6,10
Home and lifestyle,8,12
Sports and travel,2,10
Sports and travel,11,13
Electronic accessories,2,11
Sports and travel,7,17
Health and beauty,3,17
Electronic accessories,7,20
Sports and travel,9,19
Home and lifestyle,13,13
Fashion accessories,5,14
Food and beverages,9,11
Health and beauty,4,12
Home and lifestyle,1,20
Home and lifestyle,4,20
Health and beauty,1,19
Sports and travel,13,10
Health and beauty,8,16
Food and beverages,12,17
Food and beverages,9,18
Fashion accessories,13,10
Home and lifestyle,3,19
Health and beauty,8,14
Health and beauty,13,20
Electronic accessories,1,11
Electronic accessories,13,14
Fashion accessories,6,20
Home and lifestyle,6,18
Food and beverages,9,14
Health and beauty,8,12
Home and lifestyle,2,18
Food and beverages,9,13
Food and beverages,3,13
Home and lifestyle,6,11
Fashion accessories,2,11
Food and beverages,2,17
Electronic accessories,6,15
Home and lifestyle,2,12
Food and beverages,8,15
Fashion accessories,12,15
Electronic accessories,6,18
Fashion accessories,12,15
Electronic accessories,13,20
Food and beverages,4,14
Electronic accessories,9,18
Home and lifestyle,10,15
Home and lifestyle,3,12
Health and beauty,13,18
Electronic accessories,11,19
Food and beverages,1,11
Home and lifestyle,7,13
Electronic accessories,4,15
Home and lifestyle,7,15
Fashion accessories,6,17
Fashion accessories,10,11
Food and beverages,10,10
Food and beverages,9,15
Electronic accessories,11,18
Food and beverages,6,20
Food and beverages,3,12
Health and beauty,4,17
Sports and travel,11,14
Health and beauty,4,10
Electronic accessories,2,11
Fashion accessories,6,19
Health and beauty,8,14
Health and beauty,1,19
Electronic accessories,13,19
Health and beauty,5,15
Food and beverages,12,19
Sports and travel,4,18
Electronic accessories,11,20
Fashion accessories,8,18
Electronic accessories,8,11
Health and beauty,5,13
Home and lifestyle,9,17
Food and beverages,6,13
Home and lifestyle,8,15
Fashion accessories,8,13
